#Time       v(in)      i(Vin)    
 2.498E-9  -1.3        0.036772  
 2.526E-9  -1.3        0.036716  
 2.554E-9  -1.3        0.03658   
 2.575E-9  -1.3        0.036505  
 2.596E-9  -1.3        0.036538  
 2.617E-9  -1.3        0.036549  
 2.632E-9  -1.3        0.036558  
 2.658E-9  -1.3        0.036556  
 2.684E-9  -1.3        0.036429  
 2.703E-9  -1.3        0.036309  
 2.722E-9  -1.3        0.036279  
 2.741E-9  -1.3        0.036298  
 2.76E-9   -1.3        0.036234  
 2.774E-9  -1.3        0.036168  
 2.788E-9  -1.3        0.03614   
 2.802E-9  -1.3        0.036112  
 2.816E-9  -1.3        0.036118  
 2.83E-9   -1.3        0.036141  
 2.844E-9  -1.3        0.036147  
 2.858E-9  -1.3        0.036135  
 2.899E-9  -1.3        0.036009  
 2.94E-9   -1.3        0.035874  
 2.969E-9  -1.3        0.035774  
 3.07E-9   -1.3        0.035516  
 3.128E-9  -1.3        0.035448  
 3.225E-9  -1.3        0.03532   
 3.29E-9   -1.3        0.035234  
 3.426E-9  -1.3        0.035113  
 3.562E-9  -1.3        0.03513   
 3.698E-9  -1.3        0.035328  
 3.834E-9  -1.3        0.035358  
 3.91E-9   -1.3        0.035164  
 3.986E-9  -1.3        0.03514   
 4.034E-9  -1.3        0.035186  
 4.112E-9  -1.3        0.035207  
 4.163E-9  -1.3        0.035244  
 4.214E-9  -1.3        0.035291  
 4.329E-9  -1.3        0.035374  
 4.414E-9  -1.3        0.03533   
 4.499E-9  -1.3        0.0352    
 4.573E-9  -1.3        0.035196  
 4.628E-9  -1.3        0.035221  
 4.683E-9  -1.3        0.035133  
 4.738E-9  -1.3        0.035097  
 4.778E-9  -1.3        0.035054  
 4.818E-9  -1.3        0.034971  
 4.858E-9  -1.3        0.034979  
 4.889E-9  -1.3        0.034903  
 4.92E-9   -1.3        0.034862  
 4.951E-9  -1.3        0.034932  
 4.982E-9  -1.3        0.034911  
 5.003E-9  -1.3        0.034848  
 5.034E-9  -1.3        0.034766  
 5.065E-9  -1.3        0.034659  
 5.096E-9  -1.3        0.034594  
 5.127E-9  -1.3        0.034658  
 5.158E-9  -1.3        0.034603  
 5.178E-9  -1.3        0.034519  
 5.218E-9  -1.3        0.03445   
 5.241E-9  -1.3        0.03444   
 5.277E-9  -1.3        0.034432  
 5.313E-9  -1.3        0.03435   
 5.349E-9  -1.3        0.034215  
 5.404E-9  -1.3        0.03417   
 5.435E-9  -1.3        0.034236  
 5.479E-9  -1.3        0.034379  
 5.523E-9  -1.3        0.034551  
 5.567E-9  -1.3        0.034505  
 5.596E-9  -1.3        0.034427  
 5.625E-9  -1.3        0.034377  
 5.654E-9  -1.3        0.034296  
 5.683E-9  -1.3        0.034259  
 5.712E-9  -1.3        0.034285  
 5.741E-9  -1.3        0.034319  
 5.77E-9   -1.3        0.0343    
 5.799E-9  -1.3        0.034282  
 5.828E-9  -1.3        0.034256  
 5.888E-9  -1.3        0.034391  
 5.921E-9  -1.3        0.034471  
 5.954E-9  -1.3        0.034431  
 5.987E-9  -1.3        0.034419  
 6.02E-9   -1.3        0.034495  
 6.053E-9  -1.3        0.034568  
 6.086E-9  -1.3        0.034489  
 6.119E-9  -1.3        0.034317  
 6.152E-9  -1.3        0.034151  
 6.185E-9  -1.3        0.034076  
 6.218E-9  -1.3        0.03411   
 6.271E-9  -1.3        0.034054  
 6.298E-9  -1.3        0.033961  
 6.358E-9  -1.3        0.033762  
 6.396E-9  -1.3        0.033743  
 6.434E-9  -1.3        0.033719  
 6.472E-9  -1.3        0.03372   
 6.51E-9   -1.3        0.033752  
 6.553E-9  -1.3        0.033687  
 6.596E-9  -1.3        0.033683  
 6.629E-9  -1.3        0.033599  
 6.662E-9  -1.3        0.033464  
 6.716E-9  -1.3        0.033308  
 6.751E-9  -1.3        0.033198  
 6.786E-9  -1.3        0.033191  
 6.821E-9  -1.3        0.033293  
 6.857E-9  -1.3        0.033399  
 6.893E-9  -1.3        0.033372  
 6.929E-9  -1.3        0.033271  
 6.965E-9  -1.3        0.03326   
 6.993E-9  -1.3        0.033225  
 7.021E-9  -1.3        0.03314   
 7.049E-9  -1.3        0.033099  
 7.077E-9  -1.3        0.033105  
 7.116E-9  -1.3        0.033094  
 7.155E-9  -1.3        0.033051  
 7.232E-9  -1.3        0.033098  
 7.276E-9  -1.3        0.033109  
 7.32E-9   -1.3        0.033001  
 7.364E-9  -1.3        0.032834  
 7.408E-9  -1.3        0.032639  
 7.452E-9  -1.3        0.032505  
 7.496E-9  -1.3        0.032482  
 7.54E-9   -1.3        0.032523  
 7.584E-9  -1.3        0.032589  
 7.628E-9  -1.3        0.032602  
 7.672E-9  -1.3        0.032647  
 7.716E-9  -1.3        0.032689  
 7.76E-9   -1.3        0.032625  
 7.804E-9  -1.3        0.032523  
 7.848E-9  -1.3        0.032472  
 7.892E-9  -1.3        0.032487  
 7.97E-9   -1.3        0.03238   
 8.013E-9  -1.3        0.032263  
 8.111E-9  -1.3        0.032089  
 8.168E-9  -1.3        0.031999  
 8.225E-9  -1.3        0.031844  
 8.282E-9  -1.3        0.031821  
 8.327E-9  -1.3        0.03197   
 8.372E-9  -1.3        0.032077  
 8.417E-9  -1.3        0.032053  
 8.462E-9  -1.3        0.032137  
 8.495E-9  -1.3        0.032224  
 8.528E-9  -1.3        0.03224   
 8.561E-9  -1.3        0.032196  
 8.627E-9  -1.3        0.032166  
 8.665E-9  -1.3        0.032274  
 8.703E-9  -1.3        0.032271  
 8.741E-9  -1.3        0.03217   
 8.817E-9  -1.3        0.032005  
 8.856E-9  -1.3        0.031958  
 8.941E-9  -1.3        0.031822  
 9.006E-9  -1.3        0.031702  
 9.065E-9  -1.3        0.03182   
 9.124E-9  -1.3        0.03206   
 9.183E-9  -1.3        0.032009  
 9.219E-9  -1.3        0.031844  
 9.253E-9  -1.3        0.03185   
 9.287E-9  -1.3        0.03189   
 9.321E-9  -1.3        0.031808  
 9.355E-9  -1.3        0.03177   
 9.389E-9  -1.3        0.0317    
 9.423E-9  -1.3        0.031595  
 9.465E-9  -1.3        0.031576  
 9.498E-9  -1.3        0.031508  
 9.531E-9  -1.3        0.031453  
 9.564E-9  -1.3        0.031445  
 9.597E-9  -1.3        0.031498  
 9.662E-9  -1.3        0.031766  
